Time,Day,Year,Site,Habitat,Abundance,Temperature,Humidity,Wind,Global radiation,Visitor Groups
14:00,D1,2018,S3,Meadow,0,16.79,0.85134,1.9,463.823,Bumblebee
15:00,D1,2018,S3,Meadow,3,16.4,0.85574,1.5,335.766,Bumblebee
16:00,D1,2018,S3,Meadow,7,17.442,0.75358,2.3,356.17,Bumblebee
17:00,D1,2018,S3,Meadow,0,16.603,0.7691,1,146.257,Bumblebee
18:00,D1,2018,S3,Meadow,3,15.525,0.87705,0.9,119.976,Bumblebee
19:00,D1,2018,S3,Meadow,0,14.722,0.90045,0.8,54.418,Bumblebee
20:00,D1,2018,S3,Meadow,0,14.366,0.9008,0.3,35.222,Bumblebee
08:00,D2,2018,S3,Meadow,0,10.181,0.99817,0,11.405,Bumblebee
09:00,D2,2018,S3,Meadow,0,11.135,0.99775,0,39.605,Bumblebee
10:00,D2,2018,S3,Meadow,0,11.57,0.98762,0.6,72.19,Bumblebee
11:00,D2,2018,S3,Meadow,1,12.845,0.92886,1.1,212.211,Bumblebee
12:00,D2,2018,S3,Meadow,0,14.149,0.85812,1.2,223.7,Bumblebee
13:00,D2,2018,S3,Meadow,0,14.224,0.91055,0.8,271.554,Bumblebee
14:00,D2,2018,S3,Meadow,3,16.399,0.83588,2.1,438.619,Bumblebee
15:00,D2,2018,S3,Meadow,1,14.719,0.87125,1,123.872,Bumblebee
16:00,D2,2018,S3,Meadow,0,15.425,0.80377,1.7,335.588,Bumblebee
17:00,D2,2018,S3,Meadow,0,15.361,0.80846,1.9,212.271,Bumblebee
18:00,D2,2018,S3,Meadow,0,14.175,0.8625,1.3,90.606,Bumblebee
19:00,D2,2018,S3,Meadow,0,13.847,0.89067,1.1,51.289,Bumblebee
20:00,D2,2018,S3,Meadow,0,11.639,0.98993,0.4,8.851,Bumblebee
08:00,D3,2018,S3,Meadow,0,10.821,0.99811,2,12.136,Bumblebee
09:00,D3,2018,S3,Meadow,0,11.42,0.9979,1.5,46.144,Bumblebee
10:00,D3,2018,S3,Meadow,0,12.427,0.98518,1.3,110.541,Bumblebee
11:00,D3,2018,S3,Meadow,0,13.682,0.95626,0.7,212.999,Bumblebee
12:00,D3,2018,S3,Meadow,2,15.512,0.83725,1.4,313.324,Bumblebee
13:00,D3,2018,S3,Meadow,2,15.817,0.87458,2.3,327.023,Bumblebee
14:00,D3,2018,S3,Meadow,2,14.331,0.9491,1.1,218.512,Bumblebee
15:00,D3,2018,S3,Meadow,4,15.45,0.92893,2.2,323.106,Bumblebee
16:00,D3,2018,S3,Meadow,5,15.701,0.86945,1.9,286.962,Bumblebee
17:00,D3,2018,S3,Meadow,5,16.817,0.83652,1.4,341.969,Bumblebee
18:00,D3,2018,S3,Meadow,0,16.608,0.7799,3.1,244.755,Bumblebee
19:00,D3,2018,S3,Meadow,0,14.426,0.91354,2.5,98.821,Bumblebee
20:00,D3,2018,S3,Meadow,0,13.978,0.90788,2.2,62.689,Bumblebee
08:00,D4,2018,S3,Meadow,0,9.87,0.99816,0.2,6.267,Bumblebee
09:00,D4,2018,S3,Meadow,0,11.272,0.97042,0,74.122,Bumblebee
10:00,D4,2018,S3,Meadow,5,14.721,0.8168,0.7,297.079,Bumblebee
11:00,D4,2018,S3,Meadow,2,14.456,0.82644,0.9,268.232,Bumblebee
12:00,D4,2018,S3,Meadow,4,13.426,0.88905,0.9,153.747,Bumblebee
13:00,D4,2018,S3,Meadow,0,12.669,0.93896,1,115.283,Bumblebee
14:00,D4,2018,S3,Meadow,15,14.153,0.91139,0.7,319.839,Bumblebee
15:00,D4,2018,S3,Meadow,16,15.771,0.77571,1,384.929,Bumblebee
16:00,D4,2018,S3,Meadow,6,17.743,0.69411,1.2,506.86,Bumblebee
17:00,D4,2018,S3,Meadow,0,14.707,0.86892,1.1,101.404,Bumblebee
18:00,D4,2018,S3,Meadow,0,14.599,0.91965,0.7,149.314,Bumblebee
19:00,D4,2018,S3,Meadow,0,14.032,0.91513,0.3,89.572,Bumblebee
20:00,D4,2018,S3,Meadow,0,13.287,0.92781,1.2,37.721,Bumblebee
08:00,D5,2018,S3,Meadow,0,10.4,0.99814,0.1,5.401,Bumblebee
09:00,D5,2018,S3,Meadow,0,11.088,0.98978,0,51.772,Bumblebee
10:00,D5,2018,S3,Meadow,0,12.08,0.94443,0.1,114.526,Bumblebee
11:00,D5,2018,S3,Meadow,0,14.302,0.87522,0.9,340.883,Bumblebee
12:00,D5,2018,S3,Meadow,2,14.879,0.82457,0.7,282.693,Bumblebee
13:00,D5,2018,S3,Meadow,2,14.474,0.83453,0.5,230.83,Bumblebee
14:00,D5,2018,S3,Meadow,0,14.548,0.85031,1.2,272.056,Bumblebee
15:00,D5,2018,S3,Meadow,2,14.865,0.8172,0.4,255.472,Bumblebee
16:00,D5,2018,S3,Meadow,1,15.49,0.82848,1.2,310.466,Bumblebee
17:00,D5,2018,S3,Meadow,2,13.789,0.90322,0.5,96.841,Bumblebee
18:00,D5,2018,S3,Meadow,4,14.616,0.84111,0.2,186.409,Bumblebee
19:00,D5,2018,S3,Meadow,0,13.18,0.90953,0.4,49.789,Bumblebee
20:00,D5,2018,S3,Meadow,0,12.099,0.97827,0.1,22.905,Bumblebee
08:00,D6,2018,S3,Meadow,0,9.231,0.99813,0,5.81,Bumblebee
09:00,D6,2018,S3,Meadow,0,13.105,0.88236,0,122.679,Bumblebee
10:00,D6,2018,S3,Meadow,0,12.849,0.91419,0,65.991,Bumblebee
11:00,D6,2018,S3,Meadow,3,12.601,0.93942,0,68.971,Bumblebee
12:00,D6,2018,S3,Meadow,11,14.2,0.88253,0.3,201.269,Bumblebee
13:00,D6,2018,S3,Meadow,6,14.593,0.85342,1,165.081,Bumblebee
14:00,D6,2018,S3,Meadow,0,15.18,0.8031,0.5,143.422,Bumblebee
15:00,D6,2018,S3,Meadow,6,15.059,0.85028,0.4,104.226,Bumblebee
16:00,D6,2018,S3,Meadow,0,14.341,0.88828,1,82.392,Bumblebee
17:00,D6,2018,S3,Meadow,0,13.347,0.95338,0.2,130.071,Bumblebee
18:00,D6,2018,S3,Meadow,0,14.65,0.88965,0.1,207.015,Bumblebee
19:00,D6,2018,S3,Meadow,0,14.347,0.89838,0.4,90.378,Bumblebee
20:00,D6,2018,S3,Meadow,0,13.715,0.95791,0,30.646,Bumblebee
08:00,D7,2018,S3,Meadow,0,10.309,0.99816,0,5.375,Bumblebee
09:00,D7,2018,S3,Meadow,0,11.603,0.98035,0.1,81.796,Bumblebee
10:00,D7,2018,S3,Meadow,2,14.744,0.87531,1,256.758,Bumblebee
11:00,D7,2018,S3,Meadow,6,14.686,0.84458,1.2,257.479,Bumblebee
12:00,D7,2018,S3,Meadow,2,15.715,0.79285,1.1,232.408,Bumblebee
13:00,D7,2018,S3,Meadow,0,13.58,0.90632,0.4,54.489,Bumblebee
14:00,D7,2018,S3,Meadow,1,14.271,0.89429,0.3,167.918,Bumblebee
15:00,D7,2018,S3,Meadow,7,14.551,0.8972,0.8,171.456,Bumblebee
16:00,D7,2018,S3,Meadow,10,17.118,0.79882,0.9,508.204,Bumblebee
17:00,D7,2018,S3,Meadow,11,17.669,0.73676,1.2,403.738,Bumblebee
18:00,D7,2018,S3,Meadow,4,16.443,0.81386,1,127.685,Bumblebee
19:00,D7,2018,S3,Meadow,0,14.987,0.82107,0.3,56.82,Bumblebee
20:00,D7,2018,S3,Meadow,0,13.864,0.92361,0.2,28.258,Bumblebee
08:00,D8,2018,S3,Meadow,0,9.796,0.99813,0,13.503,Bumblebee
09:00,D8,2018,S3,Meadow,0,12.298,0.94986,0,114.172,Bumblebee
10:00,D8,2018,S3,Meadow,0,13.445,0.92364,0.1,181.593,Bumblebee
11:00,D8,2018,S3,Meadow,6,15.407,0.80989,0.5,306.352,Bumblebee
12:00,D8,2018,S3,Meadow,11,16.81,0.76759,1,482.749,Bumblebee
13:00,D8,2018,S3,Meadow,2,17.204,0.67816,1.3,389.463,Bumblebee
14:00,D8,2018,S3,Meadow,0,15.837,0.71484,0.4,134.813,Bumblebee
15:00,D8,2018,S3,Meadow,5,15.636,0.75014,0.5,142.36,Bumblebee
16:00,D8,2018,S3,Meadow,14,17.132,0.66255,1.7,322.795,Bumblebee
17:00,D8,2018,S3,Meadow,5,18.338,0.58549,2.1,364.384,Bumblebee
18:00,D8,2018,S3,Meadow,0,17.651,0.62101,2,255.181,Bumblebee
19:00,D8,2018,S3,Meadow,0,15.177,0.83437,0.2,41.904,Bumblebee
20:00,D8,2018,S3,Meadow,0,15.064,0.86721,0,42.162,Bumblebee
08:00,D1,2019,S3,Meadow,0,10.858,0.99717,0.6,17.284,Bumblebee
09:00,D1,2019,S3,Meadow,0,12.4,0.99423,0,90.26,Bumblebee
10:00,D1,2019,S3,Meadow,0,14.455,0.94252,0.5,170.653,Bumblebee
11:00,D1,2019,S3,Meadow,0,15.376,0.89109,1.5,291.493,Bumblebee
12:00,D1,2019,S3,Meadow,1,16.14,0.87128,1.2,348.358,Bumblebee
13:00,D1,2019,S3,Meadow,1,17.216,0.83818,1.4,354.418,Bumblebee
14:00,D1,2019,S3,Meadow,0,18.393,0.78907,1.5,457.929,Bumblebee
15:00,D1,2019,S3,Meadow,0,20.493,0.66843,2.7,523.694,Bumblebee
16:00,D1,2019,S3,Meadow,0,19.079,0.71085,1.7,194.231,Bumblebee
17:00,D1,2019,S3,Meadow,0,18.312,0.7282,1.3,81.855,Bumblebee
18:00,D1,2019,S3,Meadow,0,17.188,0.79396,1.1,71.072,Bumblebee
19:00,D1,2019,S3,Meadow,0,16.627,0.83018,0.6,63.229,Bumblebee
20:00,D1,2019,S3,Meadow,0,16.008,0.86261,0.4,14.898,Bumblebee
08:00,D2,2019,S3,Meadow,0,9.662,0.99807,0,3.832,Bumblebee
09:00,D2,2019,S3,Meadow,0,10.087,0.99793,0.4,20.519,Bumblebee
10:00,D2,2019,S3,Meadow,0,11.012,0.97511,0.1,108.67,Bumblebee
11:00,D2,2019,S3,Meadow,0,11.686,0.93561,1.1,119.328,Bumblebee
12:00,D2,2019,S3,Meadow,0,12.611,0.88354,1,192.71,Bumblebee
13:00,D2,2019,S3,Meadow,1,12.972,0.89184,0.9,201.572,Bumblebee
14:00,D2,2019,S3,Meadow,1,12.817,0.90276,1,137.239,Bumblebee
15:00,D2,2019,S3,Meadow,0,13.54,0.86516,0.9,240.466,Bumblebee
16:00,D2,2019,S3,Meadow,1,15.426,0.7489,1.3,394.084,Bumblebee
17:00,D2,2019,S3,Meadow,3,16.022,0.7404,1.2,393.579,Bumblebee
18:00,D2,2019,S3,Meadow,0,15.856,0.75075,1.3,248.871,Bumblebee
19:00,D2,2019,S3,Meadow,0,14.708,0.79386,0.6,78.22,Bumblebee
20:00,D2,2019,S3,Meadow,0,14.147,0.84614,0.1,54.434,Bumblebee
08:00,D3,2019,S3,Meadow,0,10.858,0.98522,0.1,5.079,Bumblebee
09:00,D3,2019,S3,Meadow,0,11.472,0.98948,0,47.556,Bumblebee
10:00,D3,2019,S3,Meadow,0,12.522,0.94297,1.1,86.632,Bumblebee
11:00,D3,2019,S3,Meadow,0,14.053,0.85914,1.4,172.387,Bumblebee
12:00,D3,2019,S3,Meadow,1,13.505,0.90453,1.4,153.785,Bumblebee
13:00,D3,2019,S3,Meadow,0,14.515,0.86628,1,207.047,Bumblebee
14:00,D3,2019,S3,Meadow,0,15.651,0.83042,1.5,257.32,Bumblebee
15:00,D3,2019,S3,Meadow,0,16.369,0.79256,1.4,263.483,Bumblebee
16:00,D3,2019,S3,Meadow,0,16.82,0.76385,1.8,231.106,Bumblebee
17:00,D3,2019,S3,Meadow,2,16.25,0.76067,2,153.367,Bumblebee
18:00,D3,2019,S3,Meadow,0,17.612,0.6975,2.4,243.217,Bumblebee
19:00,D3,2019,S3,Meadow,0,16.593,0.73782,2.3,123.491,Bumblebee
20:00,D3,2019,S3,Meadow,0,15.501,0.80258,1.9,46.406,Bumblebee
08:00,D4,2019,S3,Meadow,0,10.324,0.99809,0.7,0.878,Bumblebee
09:00,D4,2019,S3,Meadow,0,10.237,0.99815,0.2,14.587,Bumblebee
10:00,D4,2019,S3,Meadow,0,10.845,0.99804,0.4,70.77,Bumblebee
11:00,D4,2019,S3,Meadow,1,12.93,0.91808,1.1,293.838,Bumblebee
12:00,D4,2019,S3,Meadow,4,13.002,0.90879,1.7,163.577,Bumblebee
13:00,D4,2019,S3,Meadow,0,12.584,0.91367,1.2,97.675,Bumblebee
14:00,D4,2019,S3,Meadow,0,13.33,0.8951,1.6,210.601,Bumblebee
15:00,D4,2019,S3,Meadow,3,13.909,0.84618,0.9,131.086,Bumblebee
16:00,D4,2019,S3,Meadow,2,15.319,0.7918,1.5,306.626,Bumblebee
17:00,D4,2019,S3,Meadow,0,15.523,0.79081,1.1,202.446,Bumblebee
18:00,D4,2019,S3,Meadow,0,14.927,0.81744,0.4,150.666,Bumblebee
19:00,D4,2019,S3,Meadow,0,14.267,0.86601,0.9,80.47,Bumblebee
20:00,D4,2019,S3,Meadow,0,13.824,0.86181,0.5,51.6,Bumblebee
08:00,D1,2018,S4,Forest,0,10.551,0.99816,0.3,6.833,Bumblebee
09:00,D1,2018,S4,Forest,0,11.022,0.9981,0.1,52.75,Bumblebee
10:00,D1,2018,S4,Forest,0,11.877,0.99815,0.1,105.272,Bumblebee
11:00,D1,2018,S4,Forest,6,13.314,0.97434,1.8,284.525,Bumblebee
12:00,D1,2018,S4,Forest,1,15.412,0.84417,1.9,322.149,Bumblebee
13:00,D1,2018,S4,Forest,2,16.334,0.86735,1.4,422.519,Bumblebee
14:00,D1,2018,S4,Forest,0,16.79,0.85134,1.9,463.823,Bumblebee
15:00,D1,2018,S4,Forest,1,16.4,0.85574,1.5,335.766,Bumblebee
16:00,D1,2018,S4,Forest,6,17.442,0.75358,2.3,356.17,Bumblebee
17:00,D1,2018,S4,Forest,7,16.603,0.7691,1,146.257,Bumblebee
18:00,D1,2018,S4,Forest,6,15.525,0.87705,0.9,119.976,Bumblebee
19:00,D1,2018,S4,Forest,0,14.722,0.90045,0.8,54.418,Bumblebee
20:00,D1,2018,S4,Forest,0,14.366,0.9008,0.3,35.222,Bumblebee
08:00,D2,2018,S4,Forest,0,10.181,0.99817,0,11.405,Bumblebee
09:00,D2,2018,S4,Forest,0,11.135,0.99775,0,39.605,Bumblebee
10:00,D2,2018,S4,Forest,1,11.57,0.98762,0.6,72.19,Bumblebee
11:00,D2,2018,S4,Forest,1,12.845,0.92886,1.1,212.211,Bumblebee
12:00,D2,2018,S4,Forest,4,14.149,0.85812,1.2,223.7,Bumblebee
13:00,D2,2018,S4,Forest,0,14.224,0.91055,0.8,271.554,Bumblebee
14:00,D2,2018,S4,Forest,1,16.399,0.83588,2.1,438.619,Bumblebee
15:00,D2,2018,S4,Forest,2,14.719,0.87125,1,123.872,Bumblebee
16:00,D2,2018,S4,Forest,1,15.425,0.80377,1.7,335.588,Bumblebee
17:00,D2,2018,S4,Forest,3,15.361,0.80846,1.9,212.271,Bumblebee
18:00,D2,2018,S4,Forest,1,14.175,0.8625,1.3,90.606,Bumblebee
19:00,D2,2018,S4,Forest,0,13.847,0.89067,1.1,51.289,Bumblebee
20:00,D2,2018,S4,Forest,0,11.639,0.98993,0.4,8.851,Bumblebee
08:00,D3,2018,S4,Forest,0,10.821,0.99811,2,12.136,Bumblebee
09:00,D3,2018,S4,Forest,0,11.42,0.9979,1.5,46.144,Bumblebee
10:00,D3,2018,S4,Forest,1,12.427,0.98518,1.3,110.541,Bumblebee
11:00,D3,2018,S4,Forest,0,13.682,0.95626,0.7,212.999,Bumblebee
12:00,D3,2018,S4,Forest,0,15.512,0.83725,1.4,313.324,Bumblebee
13:00,D3,2018,S4,Forest,0,15.817,0.87458,2.3,327.023,Bumblebee
14:00,D3,2018,S4,Forest,0,14.331,0.9491,1.1,218.512,Bumblebee
15:00,D3,2018,S4,Forest,0,15.45,0.92893,2.2,323.106,Bumblebee
16:00,D3,2018,S4,Forest,1,15.701,0.86945,1.9,286.962,Bumblebee
17:00,D3,2018,S4,Forest,0,16.817,0.83652,1.4,341.969,Bumblebee
18:00,D3,2018,S4,Forest,0,16.608,0.7799,3.1,244.755,Bumblebee
19:00,D3,2018,S4,Forest,0,14.426,0.91354,2.5,98.821,Bumblebee
20:00,D3,2018,S4,Forest,0,13.978,0.90788,2.2,62.689,Bumblebee
08:00,D4,2018,S4,Forest,0,9.87,0.99816,0.2,6.267,Bumblebee
09:00,D4,2018,S4,Forest,0,11.272,0.97042,0,74.122,Bumblebee
10:00,D4,2018,S4,Forest,0,14.721,0.8168,0.7,297.079,Bumblebee
11:00,D4,2018,S4,Forest,2,14.456,0.82644,0.9,268.232,Bumblebee
12:00,D4,2018,S4,Forest,1,13.426,0.88905,0.9,153.747,Bumblebee
13:00,D4,2018,S4,Forest,0,12.669,0.93896,1,115.283,Bumblebee
14:00,D4,2018,S4,Forest,1,14.153,0.91139,0.7,319.839,Bumblebee
15:00,D4,2018,S4,Forest,0,15.771,0.77571,1,384.929,Bumblebee
16:00,D4,2018,S4,Forest,1,17.743,0.69411,1.2,506.86,Bumblebee
17:00,D4,2018,S4,Forest,3,14.707,0.86892,1.1,101.404,Bumblebee
18:00,D4,2018,S4,Forest,0,14.599,0.91965,0.7,149.314,Bumblebee
19:00,D4,2018,S4,Forest,0,14.032,0.91513,0.3,89.572,Bumblebee
20:00,D4,2018,S4,Forest,0,13.287,0.92781,1.2,37.721,Bumblebee
08:00,D5,2018,S4,Forest,0,10.4,0.99814,0.1,5.401,Bumblebee
09:00,D5,2018,S4,Forest,0,11.088,0.98978,0,51.772,Bumblebee
10:00,D5,2018,S4,Forest,1,12.08,0.94443,0.1,114.526,Bumblebee
11:00,D5,2018,S4,Forest,0,14.302,0.87522,0.9,340.883,Bumblebee
12:00,D5,2018,S4,Forest,0,14.879,0.82457,0.7,282.693,Bumblebee
13:00,D5,2018,S4,Forest,0,14.474,0.83453,0.5,230.83,Bumblebee
14:00,D5,2018,S4,Forest,0,14.548,0.85031,1.2,272.056,Bumblebee
15:00,D5,2018,S4,Forest,1,14.865,0.8172,0.4,255.472,Bumblebee
16:00,D5,2018,S4,Forest,0,15.49,0.82848,1.2,310.466,Bumblebee
17:00,D5,2018,S4,Forest,0,13.789,0.90322,0.5,96.841,Bumblebee
18:00,D5,2018,S4,Forest,1,14.616,0.84111,0.2,186.409,Bumblebee
19:00,D5,2018,S4,Forest,0,13.18,0.90953,0.4,49.789,Bumblebee
20:00,D5,2018,S4,Forest,0,12.099,0.97827,0.1,22.905,Bumblebee
08:00,D6,2018,S4,Forest,0,9.231,0.99813,0,5.81,Bumblebee
09:00,D6,2018,S4,Forest,0,13.105,0.88236,0,122.679,Bumblebee
10:00,D6,2018,S4,Forest,1,12.849,0.91419,0,65.991,Bumblebee
11:00,D6,2018,S4,Forest,1,12.601,0.93942,0,68.971,Bumblebee
12:00,D6,2018,S4,Forest,2,14.2,0.88253,0.3,201.269,Bumblebee
13:00,D6,2018,S4,Forest,0,14.593,0.85342,1,165.081,Bumblebee
14:00,D6,2018,S4,Forest,0,15.18,0.8031,0.5,143.422,Bumblebee
15:00,D6,2018,S4,Forest,2,15.059,0.85028,0.4,104.226,Bumblebee
16:00,D6,2018,S4,Forest,0,14.341,0.88828,1,82.392,Bumblebee
17:00,D6,2018,S4,Forest,0,13.347,0.95338,0.2,130.071,Bumblebee
18:00,D6,2018,S4,Forest,0,14.65,0.88965,0.1,207.015,Bumblebee
19:00,D6,2018,S4,Forest,0,14.347,0.89838,0.4,90.378,Bumblebee
20:00,D6,2018,S4,Forest,0,13.715,0.95791,0,30.646,Bumblebee
08:00,D7,2018,S4,Forest,0,10.309,0.99816,0,5.375,Bumblebee
09:00,D7,2018,S4,Forest,0,11.603,0.98035,0.1,81.796,Bumblebee
10:00,D7,2018,S4,Forest,0,14.744,0.87531,1,256.758,Bumblebee
11:00,D7,2018,S4,Forest,0,14.686,0.84458,1.2,257.479,Bumblebee
12:00,D7,2018,S4,Forest,0,15.715,0.79285,1.1,232.408,Bumblebee
13:00,D7,2018,S4,Forest,0,13.58,0.90632,0.4,54.489,Bumblebee
14:00,D7,2018,S4,Forest,0,14.271,0.89429,0.3,167.918,Bumblebee
15:00,D7,2018,S4,Forest,0,14.551,0.8972,0.8,171.456,Bumblebee
16:00,D7,2018,S4,Forest,1,17.118,0.79882,0.9,508.204,Bumblebee
17:00,D7,2018,S4,Forest,0,17.669,0.73676,1.2,403.738,Bumblebee
18:00,D7,2018,S4,Forest,0,16.443,0.81386,1,127.685,Bumblebee
19:00,D7,2018,S4,Forest,0,14.987,0.82107,0.3,56.82,Bumblebee
20:00,D7,2018,S4,Forest,0,13.864,0.92361,0.2,28.258,Bumblebee
08:00,D8,2018,S4,Forest,0,9.796,0.99813,0,13.503,Bumblebee
09:00,D8,2018,S4,Forest,0,12.298,0.94986,0,114.172,Bumblebee
10:00,D8,2018,S4,Forest,0,13.445,0.92364,0.1,181.593,Bumblebee
11:00,D8,2018,S4,Forest,0,15.407,0.80989,0.5,306.352,Bumblebee
12:00,D8,2018,S4,Forest,1,16.81,0.76759,1,482.749,Bumblebee
13:00,D8,2018,S4,Forest,0,17.204,0.67816,1.3,389.463,Bumblebee
14:00,D8,2018,S4,Forest,0,15.837,0.71484,0.4,134.813,Bumblebee
15:00,D8,2018,S4,Forest,0,15.636,0.75014,0.5,142.36,Bumblebee
16:00,D8,2018,S4,Forest,1,17.132,0.66255,1.7,322.795,Bumblebee
17:00,D8,2018,S4,Forest,0,18.338,0.58549,2.1,364.384,Bumblebee
18:00,D8,2018,S4,Forest,0,17.651,0.62101,2,255.181,Bumblebee
19:00,D8,2018,S4,Forest,0,15.177,0.83437,0.2,41.904,Bumblebee
20:00,D8,2018,S4,Forest,0,15.064,0.86721,0,42.162,Bumblebee
08:00,D1,2019,S4,Forest,0,10.858,0.99717,0.6,17.284,Bumblebee
09:00,D1,2019,S4,Forest,0,12.4,0.99423,0,90.26,Bumblebee
10:00,D1,2019,S4,Forest,0,14.455,0.94252,0.5,170.653,Bumblebee
11:00,D1,2019,S4,Forest,0,15.376,0.89109,1.5,291.493,Bumblebee
12:00,D1,2019,S4,Forest,0,16.14,0.87128,1.2,348.358,Bumblebee
13:00,D1,2019,S4,Forest,0,17.216,0.83818,1.4,354.418,Bumblebee
14:00,D1,2019,S4,Forest,0,18.393,0.78907,1.5,457.929,Bumblebee
15:00,D1,2019,S4,Forest,0,20.493,0.66843,2.7,523.694,Bumblebee
16:00,D1,2019,S4,Forest,1,19.079,0.71085,1.7,194.231,Bumblebee
17:00,D1,2019,S4,Forest,0,18.312,0.7282,1.3,81.855,Bumblebee
18:00,D1,2019,S4,Forest,0,17.188,0.79396,1.1,71.072,Bumblebee
19:00,D1,2019,S4,Forest,0,16.627,0.83018,0.6,63.229,Bumblebee
20:00,D1,2019,S4,Forest,0,16.008,0.86261,0.4,14.898,Bumblebee
08:00,D2,2019,S4,Forest,0,9.662,0.99807,0,3.832,Bumblebee
09:00,D2,2019,S4,Forest,0,10.087,0.99793,0.4,20.519,Bumblebee
10:00,D2,2019,S4,Forest,0,11.012,0.97511,0.1,108.67,Bumblebee
11:00,D2,2019,S4,Forest,7,11.686,0.93561,1.1,119.328,Bumblebee
12:00,D2,2019,S4,Forest,9,12.611,0.88354,1,192.71,Bumblebee
13:00,D2,2019,S4,Forest,5,12.972,0.89184,0.9,201.572,Bumblebee
14:00,D2,2019,S4,Forest,4,12.817,0.90276,1,137.239,Bumblebee
15:00,D2,2019,S4,Forest,5,13.54,0.86516,0.9,240.466,Bumblebee
16:00,D2,2019,S4,Forest,4,15.426,0.7489,1.3,394.084,Bumblebee
17:00,D2,2019,S4,Forest,4,16.022,0.7404,1.2,393.579,Bumblebee
18:00,D2,2019,S4,Forest,3,15.856,0.75075,1.3,248.871,Bumblebee
19:00,D2,2019,S4,Forest,0,14.708,0.79386,0.6,78.22,Bumblebee
20:00,D2,2019,S4,Forest,0,14.147,0.84614,0.1,54.434,Bumblebee
08:00,D3,2019,S4,Forest,0,10.858,0.98522,0.1,5.079,Bumblebee
09:00,D3,2019,S4,Forest,0,11.472,0.98948,0,47.556,Bumblebee
10:00,D3,2019,S4,Forest,0,12.522,0.94297,1.1,86.632,Bumblebee
11:00,D3,2019,S4,Forest,1,14.053,0.85914,1.4,172.387,Bumblebee
12:00,D3,2019,S4,Forest,0,13.505,0.90453,1.4,153.785,Bumblebee
13:00,D3,2019,S4,Forest,0,14.515,0.86628,1,207.047,Bumblebee
14:00,D3,2019,S4,Forest,0,15.651,0.83042,1.5,257.32,Bumblebee
15:00,D3,2019,S4,Forest,0,16.369,0.79256,1.4,263.483,Bumblebee
16:00,D3,2019,S4,Forest,0,16.82,0.76385,1.8,231.106,Bumblebee
17:00,D3,2019,S4,Forest,0,16.25,0.76067,2,153.367,Bumblebee
18:00,D3,2019,S4,Forest,0,17.612,0.6975,2.4,243.217,Bumblebee
19:00,D3,2019,S4,Forest,0,16.593,0.73782,2.3,123.491,Bumblebee
20:00,D3,2019,S4,Forest,0,15.501,0.80258,1.9,46.406,Bumblebee
08:00,D4,2019,S4,Forest,0,10.324,0.99809,0.7,0.878,Bumblebee
09:00,D4,2019,S4,Forest,0,10.237,0.99815,0.2,14.587,Bumblebee
10:00,D4,2019,S4,Forest,1,10.845,0.99804,0.4,70.77,Bumblebee
11:00,D4,2019,S4,Forest,2,12.93,0.91808,1.1,293.838,Bumblebee
12:00,D4,2019,S4,Forest,2,13.002,0.90879,1.7,163.577,Bumblebee
13:00,D4,2019,S4,Forest,1,12.584,0.91367,1.2,97.675,Bumblebee
14:00,D4,2019,S4,Forest,2,13.33,0.8951,1.6,210.601,Bumblebee
15:00,D4,2019,S4,Forest,3,13.909,0.84618,0.9,131.086,Bumblebee
16:00,D4,2019,S4,Forest,2,15.319,0.7918,1.5,306.626,Bumblebee
17:00,D4,2019,S4,Forest,8,15.523,0.79081,1.1,202.446,Bumblebee
18:00,D4,2019,S4,Forest,2,14.927,0.81744,0.4,150.666,Bumblebee
19:00,D4,2019,S4,Forest,0,14.267,0.86601,0.9,80.47,Bumblebee
20:00,D4,2019,S4,Forest,0,13.824,0.86181,0.5,51.6,Bumblebee
08:00,D5,2019,S4,Forest,0,11.294,0.99103,0.2,2.239,Bumblebee
09:00,D5,2019,S4,Forest,0,11.789,0.97782,0.4,39.256,Bumblebee
10:00,D5,2019,S4,Forest,0,13.09,0.91535,1.5,121.56,Bumblebee
11:00,D5,2019,S4,Forest,5,13.728,0.86401,1.7,147.648,Bumblebee
12:00,D5,2019,S4,Forest,6,16,0.79052,2.8,382.246,Bumblebee
13:00,D5,2019,S4,Forest,1,16.117,0.77408,1.8,280.127,Bumblebee
14:00,D5,2019,S4,Forest,0,15.255,0.84865,0.7,167.055,Bumblebee
15:00,D5,2019,S4,Forest,0,13.31,0.97493,0.5,96.257,Bumblebee
16:00,D5,2019,S4,Forest,0,13.686,0.99135,0.6,124.576,Bumblebee
17:00,D5,2019,S4,Forest,1,15.37,0.88127,0.6,208.26,Bumblebee
18:00,D5,2019,S4,Forest,0,16.199,0.83217,0.3,177.527,Bumblebee
19:00,D5,2019,S4,Forest,0,16.083,0.83809,0.5,105.489,Bumblebee
20:00,D5,2019,S4,Forest,0,15.027,0.87629,0.7,46.697,Bumblebee
08:00,D1,2018,S5,Forest,0,10.551,0.99816,0.3,6.833,Bumblebee
09:00,D1,2018,S5,Forest,0,11.022,0.9981,0.1,52.75,Bumblebee
10:00,D1,2018,S5,Forest,0,11.877,0.99815,0.1,105.272,Bumblebee
11:00,D1,2018,S5,Forest,0,13.314,0.97434,1.8,284.525,Bumblebee
